Days,Telescope,Flux,Error
11.37,VLA B,18.94,1.905
12.33,VLA B,22.487,2.261
13.04,VLA B,25.753,2.576
13.46,VLA B,25.55,2.578
14.25,VLA B,28.64,2.875
16.02,VLA B,31.6,5.336
16.53,VLA B,33.2,3.491
17.07,VLA B,35.25,3.54
19.02,VLA B,39.86,4.078
22.25,VLA B,39.14,3.933
24.51,VLA B,38.42,3.892
25.48,VLA B,39.94,4.029
26.88,VLA B,40.02,4.15
27.87,VLA B,48.81,5.062
28.99,VLA B,45.45,4.626
30.84,VLA B,51.26,5.272
31.52,VLA B,55.38,5.598
32.5,VLA B,45.01,4.528
34.37,VLA B,55.78,5.639
34.93,VLA B,52.81,5.288
37.27,VLA B,62.9,6.327
40.11,VLA B,53.64,5.396
44.74,VLA B/C,46.7,4.691
47.2,VLA B/C,61.07,6.169
50.13,VLA B/C,54.61,5.47
53.17,VLA B/C,54.749,5.502
58.99,VLA B/C,67.48,6.81
63.04,VLA B/C,53,5.342
68.06,VLA B/C,47.2,4.759
75.06,VLA C,51.14,5.157
89.75,VLA C,51.82,5.212
95.22,VLA C,44.85,4.552
113.02,VLA C,47.63,4.82
124.88,VLA C,41.68,4.457
135.94,VLA C/D,19.54,2.223
137.93,VLA C/D,26.27,2.859
142.79,VLA C,31.36,3.651
148.54,VLA C,36.35,3.716
151.93,VLA C,35.54,4.317
156.78,VLA C/D,27.964,2.99
174.72,VLA C/D,39.1,3.918
175.75,VLA C/D,22.63,2.302
182.75,VLA C/D,28,2.864
190.66,VLA C/D,24.152,2.437
203.8,VLA C/D,15.97,1.939
211.61,VLA C/D,23.64,2.486
218.58,VLA D,30.36,3.101
223,VLA,25.7,3.9
236.58,VLA D,25.79,2.643
245.56,VLA D,26.14,2.701
252.58,VLA D,23.72,2.468
264,VLA,27.4,2
266.58,VLA D,22.26,2.365
274.56,VLA D,23.52,2.472
285.37,VLA D,23.08,2.357
291.51,VLA D,23.42,2.373
305.3,VLA D,22.14,2.302
317.22,VLA D,24.95,2.614
327.3,VLA A,17.98,2.057
357.36,VLA A,15.54,1.929
393.18,VLA A,10.39,1.247
424.16,VLA A/B,12.32,1.407
452.98,VLA B,7.196,0.896
522.69,VLA B,9.08,1.442
564.64,VLA C,9.96,1.622
648.39,VLA C/D,15.29,2.638
739.14,VLA D,14.8,1.593
922.69,VLA B,9.36,1.086
1020,VLA B/C,9.393,0.983
1107,VLA,10.3,0.7
1287.57,VLA D/A,9.16,2.899
1397.21,VLA A/B,7.34,0.974
1693,VLA,10.4,1.3
1899.85,VLA A/B,3.927,0.762
2063,VLA,7.7,0.9
2080,VLA,5.1,1
2261,VLA,5.5,1
3213.38,VLA D/A,2.495,0.282
3708.93,VLA A,1.928,0.237
3959.47,VLA B/C,1.792,0.191
4184.57,VLA A,0.967,0.217
4460.9,VLA B/C,0.897,0.139
