Days,Telescope,Flux,Error
75.06,VLA C,0.65,0.103
82.92,VLA C,1.22,0.141
89.75,VLA C,2.85,0.314
95.22,VLA C,2.94,0.33
102.76,VLA C,4.09,0.436
107.77,VLA C,6.84,0.694
113.02,VLA C,6.52,0.657
124.88,VLA C,9.77,0.982
131.95,VLA C,11.72,1.43
135.94,VLA C/D,16.747,1.752
137.93,VLA C/D,17.193,1.964
142.79,VLA C,15.18,1.583
148.54,VLA C,15.137,1.576
151.93,VLA C,17.56,1.906
175.75,VLA C/D,26.87,3.148
182.75,VLA C/D,30.94,3.488
190.66,VLA C/D,28.303,3.098
203.8,VLA C/D,35.77,3.982
211.61,VLA C/D,33.22,3.662
218.58,VLA D,24.59,2.478
223,VLA,61.5,5.8
236.58,VLA D,34.51,3.466
245.56,VLA D,47.02,5.23
252.58,VLA D,59.1,6.118
264,VLA,86.3,4.7
266.58,VLA D,63.11,6.642
274.56,VLA D,63.59,6.522
285.37,VLA D,58.78,5.965
291.51,VLA D,58.9,5.957
305.3,VLA D,50.4,5.125
317.22,VLA D,60.83,6.472
327.3,VLA A,78.7,7.882
352,VLA,99.1,5
357.36,VLA A,91.217,9.123
380.16,VLA A,86.83,8.684
390,VLA,102.7,5.1
393.18,VLA A,87.47,8.772
424.16,VLA A/B,96.81,9.707
452.98,VLA B,104.52,10.534
522.69,VLA B,101.94,10.297
564.64,VLA C,101.29,10.215
589.47,VLA C,112.28,11.291
648.39,VLA C/D,107.01,10.736
686,VLA,120,10
739.14,VLA D,118.84,12.205
810.05,VLA D/A,101.76,10.247
922.69,VLA B,99.91,9.992
1020,VLA B/C,84.007,8.415
1287.57,VLA D/A,70.86,7.132
1356,VLA,70.8,3.7
1397.21,VLA A/B,71.91,7.297
1600.99,VLA C/D,61.631,6.176
1693,VLA,60.6,3.3
1899.85,VLA A/B,52.165,5.356
2063,VLA,48.2,2.8
2080,VLA,47.9,2.8
2261,VLA,39.6,2.1
2268.96,VLA D/A,37.77,3.799
2432,VLA,38.8,2.3
2782,GMRT,35.1,3.5
2787,VLA,33.8,1.7
2820,GMRT,36.1,3.6
2823,VLA A ,30.5,0.4
2823,VLA A ,33.7,0.4
2988,GMRT,32.7,3.3
2996,VLA,28.8,1.6
3123,GMRT,33.9,3.3
3164,VLA A ,24.4,1.5
3213.38,VLA D/A,31.44,4.278
3297,GMRT,24.6,3.7
3375,GMRT,23.4,2.5
3464,GMRT,24.2,2.4
3708.93,VLA A,17.377,1.968
3729,GMRT,20.2,2.1
3959.47,VLA B/C,14.359,1.469
4184.57,VLA A,11.309,1.142
4460.9,VLA B/C,8.893,0.894
4840.05,VLA B,5.303,0.469
