Days,Telescope,Flux,Error
11.37,VLA B,0.75,0.063
13.04,VLA B,1.33,0.097
14.25,VLA B,1.89,0.107
16.02,VLA B,2.98,0.169
16.53,VLA B,3.14,0.172
17.07,VLA B,3.59,0.189
22.25,VLA B,7.86,0.396
22.97,VLA B,8.99,0.453
24.51,VLA B,9.71,0.491
25.48,VLA B,11.77,0.592
26.88,VLA B,14.61,0.735
27.87,VLA B,15.17,0.763
28.99,VLA B,16.71,0.839
29.85,VLA B,18.58,0.932
30.84,VLA B,19.73,0.991
31.52,VLA B,20.55,1.031
32.5,VLA B,21.93,1.103
34.37,VLA B,26,1.302
34.93,VLA B,29.63,1.484
35.71,VLA B,30.31,1.518
37.27,VLA B,33.32,1.668
40.11,VLA B,37.07,1.854
44.74,VLA B/C,52.1,2.611
47.2,VLA B/C,59.03,2.96
50,VLA,63,3.2
50.13,VLA B/C,61.91,3.099
53.17,VLA B/C,63.9,3.201
58.99,VLA B/C,77.92,3.898
63.04,VLA B/C,81.5,4.08
75.06,VLA C,90.74,4.538
82.92,VLA C,108.98,5.472
89.75,VLA C,101.37,5.094
95.22,VLA C,102.73,5.138
102.76,VLA C,129.36,6.472
107.77,VLA C,134.22,6.716
113.02,VLA C,108.63,5.434
124.88,VLA C,103.43,5.179
131.95,VLA C,115.98,6.075
135.94,VLA C/D,84.15,4.223
142.79,VLA C,92.28,4.904
148.54,VLA C,88.74,4.574
151.93,VLA C,102.84,5.334
156.78,VLA C/D,92.185,4.688
174.72,VLA C/D,78.7,3.984
175,VLA,78.7,4
175.75,VLA C/D,61.341,3.207
182.75,VLA C/D,70.46,3.594
190.66,VLA C/D,68.947,3.491
203.8,VLA C/D,65.15,3.791
218.58,VLA D,67.21,3.471
223,VLA,64.7,3.2
236.58,VLA D,64.32,3.252
245.56,VLA D,61.47,3.083
252.58,VLA D,59.63,2.994
264,VLA,57.1,2.9
266.58,VLA D,56.88,2.873
274.56,VLA D,55.75,3.156
285.37,VLA D,55.74,2.817
291.51,VLA D,54.64,2.804
305.3,VLA D,55.43,2.832
306,VLA,52.2,2.6
317.22,VLA D,60.24,3.106
327.3,VLA A,49.42,2.49
352,VLA,45.7,2.3
357.36,VLA A,43.37,2.282
390.1,VLA A,42.21,2.111
393.18,VLA A,39.82,2.009
424.16,VLA A/B,40.29,2.071
451,VLA,39,2
452.98,VLA B,30.55,1.627
522.69,VLA B,30.77,1.674
564.64,VLA C,29.26,2.183
582,VLA,33,1.7
589.47,VLA C,31.48,1.584
635,VLA,31.9,1.6
648.39,VLA C/D,23.21,1.92
686,VLA,29.2,1.5
739.14,VLA D,28.2,1.468
774,VLA,25.6,1.5
810.05,VLA D/A,16.48,0.877
873,VLA,24.5,1.2
922.69,VLA B,23.3,1.425
996,VLA,22.1,1.1
1020,VLA B/C,21.062,1.061
1107,VLA,20.2,1.1
1253,VLA,19.1,1
1287.57,VLA D/A,16.31,2.013
1356,VLA,18.7,0.9
1397.21,VLA A/B,16.75,0.965
1532,VLA,17.2,0.9
1693,VLA,17.2,0.9
1893,VLA,16,1
1899.85,VLA A/B,9.632,0.61
2063,VLA,13.9,0.7
2080,VLA,14.3,0.8
2261,VLA,12.8,0.8
2432,VLA,12.5,0.7
2525,VLA,12,0.8
2787,VLA,10.9,0.6
2825,VLA A ,10.4,0.2
2858,VLA,9.7,0.7
2996,VLA,0.7,9.4
3164,VLA A ,8.4,0.5
3213.38,VLA D/A,7.88,0.459
3708.93,VLA A,3.943,0.207
3959.47,VLA B/C,4.513,0.241
4184.57,VLA A,3.22,0.257
4460.9,VLA B/C,2.562,0.136
4685.17,VLA D,1.307,0.371
