"Time (MJD)" "Flux density (uJy)" "Flux density error (uJy)" "Frequency (GHz)" "Instrument" "Instrument Configuration"
58551.05 150.0 12.0 10.0 VLA B 	
58587.09306 262.0 11.0 24.0 VLA B
58587.09306 286.0 12.0 11.0 VLA B
58587.09306 331.0 9.0 9.0 VLA B
58587.09306 343.0 8.0 7.511 VLA B
58587.09306 356.0 9.0 6.487 VLA B
58587.09306 383.0 9.0 5.511 VLA B
58587.09306 455.0 11.0 4.487 VLA B
58615.86042 233.0 8.0 14.0 VLA B
58615.86042 258.0 10.0 11.0 VLA B
58615.86042 320.0 10.0 9.0 VLA B
58615.86042 360.0 9.0 7.5 VLA B
58615.86042 362.0 10.0 6.5 VLA B
58615.86042 375.0 9.0 5.5 VLA B
58615.86042 434.0 10.0 4.5 VLA B
58623.99375 377.0 22.0 7.45 VLA B
58623.99375 472.0 21.0 6.49 VLA B
58623.99375 401.0 18.0 5.51 VLA B
58623.99375 564.0 20.0 4.49 VLA B
58623.99375 582.0 27.0 3.76 VLA B
58623.99375 636.0 22.0 3.24 VLA B
58623.99375 616.0 29.0 2.76 VLA B
58623.99375 678.0 61.0 2.24 VLA B
58623.99375 906.0 142.0 1.776 VLA B
58653.98611 306.0 12.0 10.999 VLA B
58653.98611 355.0 12.0 8.999 VLA B
58653.98611 454.0 14.0 7.511 VLA B
58653.98611 484.0 14.0 6.487 VLA B
58653.98611 522.0 15.0 5.511 VLA B
58653.98611 645.0 19.0 4.487 VLA B
58653.98611 617.0 20.0 3.755 VLA B
58653.98611 677.0 18.0 3.243 VLA B
58653.98611 801.0 21.0 2.755 VLA B
58653.98611 798.0 37.0 2.243 VLA B
58653.98611 933.0 42.0 1.903 VLA B
58653.98611 945.0 53.0 1.648 VLA B
58653.98611 1195.0 38.0 1.3916 VLA B
58653.98611 1240.0 160.0 1.136 VLA B
58704.79583 346.0 12.0 11.0 VLA A
58704.79583 450.0 11.0 9.0 VLA A
58704.79583 526.0 13.0 7.511 VLA A
58704.79583 593.0 15.0 6.487 VLA A
58704.79583 707.0 14.0 5.511 VLA A
58704.79583 824.0 15.0 4.487 VLA A
58704.79583 867.0 18.0 3.755 VLA A
58704.79583 1002.0 17.0 3.243 VLA A
58704.79583 1069.0 19.0 2.755 VLA A
58704.79583 1175.0 46.0 2.243 VLA A
58704.79583 1164.0 43.0 1.9035 VLA A
58704.79583 1190.0 68.0 1.6475 VLA A
58704.79583 1306.0 38.0 1.3915 VLA A
58704.79583 1217.0 88.0 1.1355 VLA A
58775.62778 382.0 9.0 11.0 VLA A
58775.62778 483.0 9.0 9.0 VLA A
58775.62778 1128.0 16.0 3.755 VLA A
58775.62778 1234.0 15.0 3.243 VLA A
58775.62778 1360.0 17.0 2.755 VLA A
